name,Gender,Eye color,Race,Hair color,Height,Publisher,Skin color,Alignment,Weight
Jennifer Kale,Female,blue,-,Blond,168.0,Marvel Comics,-,good,55.0
Jesse Quick,Female,-,Human,-,-99.0,DC Comics,-,good,-99.0
Jessica Cruz,Female,green,Human,Brown,-99.0,DC Comics,-,good,-99.0
Jessica Jones,Female,brown,Human,Brown,170.0,Marvel Comics,-,good,56.0
Jessica Sanders,Female,-,-,-,-99.0,NBC - Heroes,-,good,-99.0
Jigsaw,Male,blue,-,Black,188.0,Marvel Comics,-,bad,113.0
Jim Powell,Male,-,-,-,-99.0,ABC Studios,-,good,-99.0
JJ Powell,Male,-,-,-,-99.0,ABC Studios,-,good,-99.0
Johann Krauss,Male,-,-,-,-99.0,Dark Horse Comics,-,good,-99.0
John Constantine,Male,blue,Human,Blond,183.0,DC Comics,-,good,-99.0
John Stewart,Male,green,Human,Black,185.0,DC Comics,-,good,90.0
John Wraith,Male,brown,-,Black,183.0,Marvel Comics,-,good,88.0
Joker,Male,green,Human,Green,196.0,DC Comics,white,bad,86.0
Jolt,Female,blue,-,Black,165.0,Marvel Comics,-,good,49.0
Jubilee,Female,red,Mutant,Black,165.0,Marvel Comics,-,good,52.0
Judge Dredd,Male,-,Human,-,188.0,Rebellion,-,good,-99.0
Juggernaut,Male,blue,Human,Red,287.0,Marvel Comics,-,neutral,855.0
Junkpile,Male,-,Mutant,-,-99.0,Marvel Comics,-,bad,-99.0
Justice,Male,hazel,Human,Brown,178.0,Marvel Comics,-,good,81.0
Jyn Erso,Female,green,Human,Brown,-99.0,George Lucas,-,good,-99.0
K-2SO,Male,white,Android,No Hair,213.0,George Lucas,gray,good,-99.0
Kang,Male,brown,-,Brown,191.0,Marvel Comics,-,bad,104.0
Karate Kid,Male,brown,Human,Brown,173.0,DC Comics,-,good,72.0
Kathryn Janeway,Female,-,Human,-,-99.0,Star Trek,-,good,-99.0
Katniss Everdeen,Female,-,Human,-,-99.0,,-,good,-99.0
Kevin 11,Male,-,Human,Black,-99.0,DC Comics,-,good,-99.0
Kick-Ass,Male,blue,Human,Blond,-99.0,Icon Comics,-,good,-99.0
Kid Flash,Male,green,Human,Red,-99.0,DC Comics,-,good,-99.0
Kid Flash II,Male,-,-,-,-99.0,DC Comics,-,good,-99.0
Killer Croc,Male,red,Metahuman,No Hair,244.0,DC Comics,green,bad,356.0
Killer Frost,Female,blue,Human,Blond,-99.0,DC Comics,blue,bad,-99.0
Kilowog,Male,red,Bolovaxian,No Hair,234.0,DC Comics,pink,good,324.0
King Kong,Male,yellow,Animal,Black,30.5,,-,good,
King Shark,Male,black,Animal,No Hair,-99.0,DC Comics,-,bad,-99.0
Kingpin,Male,blue,Human,No Hair,201.0,Marvel Comics,-,bad,203.0
Klaw,Male,red,Human,No Hair,188.0,Marvel Comics,red,bad,97.0
Kool-Aid Man,Male,black,-,No Hair,-99.0,,red,good,-99.0
Kraven II,Male,brown,Human,Black,191.0,Marvel Comics,-,bad,99.0
Kraven the Hunter,Male,brown,Human,Black,183.0,Marvel Comics,-,bad,106.0
Krypto,Male,blue,Kryptonian,White,64.0,DC Comics,-,good,18.0
Kyle Rayner,Male,green,Human,Black,180.0,DC Comics,-,good,79.0
Kylo Ren,Male,-,Human,-,-99.0,George Lucas,-,bad,-99.0
Lady Bullseye,Female,-,-,Black,-99.0,Marvel Comics,-,bad,-99.0
Lady Deathstrike,Female,brown,Cyborg,Black,175.0,Marvel Comics,-,bad,58.0
Leader,Male,green,-,No Hair,178.0,Marvel Comics,-,bad,63.0
Leech,Male,-,-,-,-99.0,Marvel Comics,-,good,-99.0
Legion,Male,green / blue,Mutant,Black,175.0,Marvel Comics,-,good,59.0
Leonardo,Male,blue,Mutant,No Hair,-99.0,IDW Publishing,green,good,-99.0
Lex Luthor,Male,green,Human,No Hair,188.0,DC Comics,-,bad,95.0
Light Lass,Female,blue,-,Red,165.0,DC Comics,-,good,54.0
Lightning Lad,Male,blue,-,Red,155.0,DC Comics,-,good,65.0
Lightning Lord,Male,blue,-,Red,191.0,DC Comics,-,bad,95.0
Living Brain,-,yellow,-,-,198.0,Marvel Comics,-,bad,360.0
Living Tribunal,-,blue,Cosmic Entity,No Hair,-99.0,Marvel Comics,gold,neutral,-99.0
Liz Sherman,Female,-,-,-,-99.0,Dark Horse Comics,-,good,-99.0
Lizard,Male,red,Human,No Hair,203.0,Marvel Comics,-,bad,230.0
Lobo,Male,red,Czarnian,Black,229.0,DC Comics,blue-white,neutral,288.0
Loki,Male,green,Asgardian,Black,193.0,Marvel Comics,-,bad,236.0
Longshot,Male,blue,Human,Blond,188.0,Marvel Comics,-,good,36.0
Luke Cage,Male,brown,Human,Black,198.0,Marvel Comics,-,good,191.0
Luke Campbell,Male,-,-,-,-99.0,NBC - Heroes,-,bad,-99.0
Luke Skywalker,Male,blue,Human,Blond,168.0,George Lucas,-,good,77.0
Luna,Female,-,Human,-,-99.0,Marvel Comics,-,good,-99.0
Lyja,Female,green,-,Green,-99.0,Marvel Comics,-,good,-99.0
Mach-IV,Male,brown,-,Brown,180.0,Marvel Comics,-,bad,79.0
Machine Man,-,red,-,Black,183.0,Marvel Comics,-,good,383.0
Magneto,Male,grey,Mutant,White,188.0,Marvel Comics,-,bad,86.0
Magog,Male,blue,-,Blond,-99.0,DC Comics,-,good,-99.0
Magus,Male,black,-,-,183.0,Marvel Comics,-,bad,-99.0
Man of Miracles,-,blue,God / Eternal,Silver,-99.0,Image Comics,-,-,-99.0
Man-Bat,Male,brown,Human,Brown,-99.0,DC Comics,-,neutral,-99.0
Man-Thing,Male,red,-,No Hair,213.0,Marvel Comics,green,good,225.0
Man-Wolf,Male,brown,-,Auburn,188.0,Marvel Comics,-,good,90.0
Mandarin,Male,blue,Human,White,188.0,Marvel Comics,-,bad,97.0
Mantis,Female,green,Human-Kree,Black,168.0,Marvel Comics,green,good,52.0
Martian Manhunter,Male,red,Martian,No Hair,201.0,DC Comics,green,good,135.0
Marvel Girl,Female,green,-,Red,170.0,Marvel Comics,-,good,56.0
Master Brood,Male,blue,-,Black,183.0,Team Epic TV,-,good,81.0
Master Chief,Male,brown,Human / Altered,Brown,213.0,Microsoft,-,good,-99.0
Match,Male,black,-,Black,-99.0,DC Comics,-,bad,-99.0
Matt Parkman,Male,-,-,-,-99.0,NBC - Heroes,-,good,-99.0
Maverick,Male,blue,-,Black,193.0,Marvel Comics,-,good,110.0
Maxima,Female,brown,-,Red,180.0,DC Comics,-,bad,72.0
Maya Herrera,Female,-,-,-,-99.0,NBC - Heroes,-,good,-99.0
Medusa,Female,green,Inhuman,Red,180.0,Marvel Comics,-,good,59.0
Meltdown,Female,blue,-,Blond,165.0,Marvel Comics,-,good,54.0
Mephisto,Male,white,-,Black,198.0,Marvel Comics,-,bad,140.0
Mera,Female,blue,Atlantean,Red,175.0,DC Comics,-,good,72.0
Metallo,Male,green,Android,Brown,196.0,DC Comics,-,bad,90.0
Metamorpho,Male,black,-,No Hair,185.0,DC Comics,-,good,90.0
Meteorite,Female,-,-,-,-99.0,Marvel Comics,-,good,-99.0
Metron,Male,blue,-,Black,185.0,DC Comics,-,good,86.0
Micah Sanders,Male,brown,-,Black,-99.0,NBC - Heroes,-,good,-99.0
Michelangelo,Male,blue,Mutant,-,-99.0,IDW Publishing,green,good,-99.0
Micro Lad,Male,grey,-,Brown,183.0,DC Comics,-,good,77.0
Mimic,Male,brown,-,Brown,188.0,Marvel Comics,-,good,101.0
Minna Murray,Female,-,-,-,-99.0,Wildstorm,-,good,-99.0
Misfit,Female,blue,-,Red,-99.0,DC Comics,-,good,-99.0
Miss Martian,Female,red,-,Red,178.0,DC Comics,-,good,61.0
Mister Fantastic,Male,brown,Human / Radiation,Brown,185.0,Marvel Comics,-,good,81.0
Mister Freeze,Male,-,Human,-,183.0,DC Comics,-,bad,86.0
Mister Knife,Male,blue,Spartoi,Brown,-99.0,Marvel Comics,-,bad,-99.0
Mister Mxyzptlk,Male,-,God / Eternal,-,-99.0,DC Comics,-,bad,-99.0
Mister Sinister,Male,red,Human / Altered,Black,196.0,Marvel Comics,-,bad,128.0
Mister Zsasz,Male,blue,Human,Blond,-99.0,DC Comics,-,bad,-99.0
Mockingbird,Female,blue,Human,Blond,175.0,Marvel Comics,-,good,61.0
MODOK,Male,white,Cyborg,Brownn,366.0,Marvel Comics,-,bad,338.0
Mogo,Male,-,Planet,-,-99.0,DC Comics,-,good,-99.0
Mohinder Suresh,Male,-,-,-,-99.0,NBC - Heroes,-,good,-99.0
Moloch,Male,-,-,-,-99.0,DC Comics,-,bad,-99.0
Molten Man,Male,gold,-,Gold,196.0,Marvel Comics,-,bad,248.0
Monarch,Male,blue,-,White,193.0,DC Comics,-,good,90.0
Monica Dawson,Female,-,-,-,-99.0,NBC - Heroes,-,good,-99.0
Moon Knight,Male,brown,Human,Brown,188.0,Marvel Comics,-,good,101.0
Moonstone,Female,blue,-,Blond,180.0,Marvel Comics,-,bad,59.0
Morlun,Male,white / red,-,Black,188.0,Marvel Comics,-,bad,79.0
Morph,Male,white,-,No Hair,178.0,Marvel Comics,-,good,79.0
Moses Magnum,Male,brown,-,Black,175.0,Marvel Comics,-,bad,72.0
Mr Immortal,Male,blue,Mutant,Blond,188.0,Marvel Comics,-,good,70.0
Mr Incredible,Male,blue,Human,Blond,201.0,Dark Horse Comics,-,good,158.0
Ms Marvel II,Female,blue,-,Red,173.0,Marvel Comics,-,good,61.0
Multiple Man,Male,blue,-,Brown,180.0,Marvel Comics,-,good,70.0
Mysterio,Male,brown,Human,No Hair,180.0,Marvel Comics,-,bad,79.0
Mystique,Female,yellow (without irises),Mutant,Red / Orange,178.0,Marvel Comics,blue,bad,54.0
Namor,Male,-,-,-,-99.0,Marvel Comics,-,good,-99.0
Namor,Male,grey,Atlantean,Black,188.0,Marvel Comics,-,good,125.0
Namora,Female,blue,-,Blond,180.0,Marvel Comics,-,good,85.0
Namorita,Female,blue,-,Blond,168.0,Marvel Comics,-,good,101.0
Naruto Uzumaki,Male,-,Human,-,168.0,Shueisha,-,good,54.0
Nathan Petrelli,Male,brown,-,-,-99.0,NBC - Heroes,-,good,-99.0
Nebula,Female,blue,Luphomoid,No Hair,185.0,Marvel Comics,blue,bad,83.0
Negasonic Teenage Warhead,Female,black,Mutant,Black,-99.0,Marvel Comics,-,good,-99.0
Nick Fury,Male,brown,Human,Brown / White,185.0,Marvel Comics,-,good,99.0
Nightcrawler,Male,yellow,-,Indigo,175.0,Marvel Comics,-,good,88.0
Nightwing,Male,blue,Human,Black,178.0,DC Comics,-,good,79.0
Niki Sanders,Female,blue,-,Blond,-99.0,NBC - Heroes,-,good,-99.0
Nina Theroux,Female,-,Alpha,-,-99.0,SyFy,-,good,-99.0
Nite Owl II,Male,-,-,-,-99.0,DC Comics,-,good,-99.0
Northstar,Male,blue,-,Black,180.0,Marvel Comics,-,good,83.0
Nova,Male,brown,Human,Brown,185.0,Marvel Comics,-,good,86.0
Nova,Female,white,Human / Cosmic,Red,163.0,Marvel Comics,gold,good,59.0
Odin,Male,blue,God / Eternal,White,206.0,Marvel Comics,-,good,293.0
Offspring,Male,-,-,-,-99.0,DC Comics,-,good,-99.0
Omega Red,Male,red,-,Blond,211.0,Marvel Comics,-,bad,191.0
Omniscient,Male,brown,-,Black,180.0,Team Epic TV,-,good,65.0
One Punch Man,Male,-,Human,No Hair,175.0,Shueisha,-,good,69.0
One-Above-All,-,-,Cosmic Entity,-,-99.0,Marvel Comics,-,neutral,-99.0
Onslaught,Male,red,Mutant,No Hair,305.0,Marvel Comics,-,bad,405.0
Oracle,Female,blue,Human,Red,178.0,DC Comics,-,good,59.0
Osiris,Male,brown,-,Brown,-99.0,DC Comics,-,good,-99.0
Overtkill,Male,-,-,-,-99.0,Image Comics,-,bad,-99.0
Ozymandias,Male,blue,Human,Blond,-99.0,DC Comics,-,bad,-99.0
Parademon,-,-,Parademon,-,-99.0,DC Comics,-,bad,-99.0
Paul Blart,Male,-,Human,-,170.0,Sony Pictures,-,good,117.0
Penance,-,-,-,-,-99.0,Marvel Comics,-,good,-99.0
Penance I,Female,-,-,-,-99.0,Marvel Comics,-,good,-99.0
Penance II,Male,blue,-,Blond,183.0,Marvel Comics,-,good,89.0
Penguin,Male,blue,Human,Black,157.0,DC Comics,-,bad,79.0
Peter Petrelli,Male,-,-,-,-99.0,NBC - Heroes,-,good,-99.0
Phantom,Male,-,-,-,-99.0,DC Comics,-,good,-99.0
Phantom Girl,Female,blue,-,Black,168.0,DC Comics,-,good,54.0
Phoenix,Female,green,Mutant,Red,168.0,Marvel Comics,-,good,52.0
Plantman,Male,green,Mutant,Grey,183.0,Marvel Comics,-,bad,87.0
Plastic Lad,Male,-,-,-,-99.0,DC Comics,-,good,-99.0
Plastic Man,Male,blue,Human,Black,185.0,DC Comics,-,good,80.0
Plastique,Female,blue,-,Red,168.0,DC Comics,-,bad,55.0
Poison Ivy,Female,green,Human,Red,168.0,DC Comics,green,bad,50.0
Polaris,Female,green,Mutant,Green,170.0,Marvel Comics,-,good,52.0
Power Girl,Female,blue,Kryptonian,blond,180.0,DC Comics,-,good,81.0
Power Man,Male,-,Mutant,-,-99.0,Marvel Comics,-,good,-99.0
Predator,Male,-,Yautja,-,213.0,Dark Horse Comics,-,bad,234.0
Professor X,Male,blue,Mutant,No Hair,183.0,Marvel Comics,-,good,86.0
Professor Zoom,Male,blue,Human,Strawberry Blond,180.0,DC Comics,-,bad,81.0
Proto-Goblin,Male,green,-,Blond,-99.0,Marvel Comics,-,bad,-99.0
Psylocke,Female,blue,Mutant,Purple,180.0,Marvel Comics,-,good,70.0
Punisher,Male,blue,Human,Black,183.0,Marvel Comics,-,good,90.0
Purple Man,Male,purple,Human,Purple,180.0,Marvel Comics,purple,bad,74.0
Pyro,Male,blue,-,Blond,178.0,Marvel Comics,-,bad,68.0
Q,Male,-,God / Eternal,-,-99.0,Star Trek,-,-,-99.0
Quantum,Male,-,-,-,-99.0,HarperCollins,-,good,-99.0
Question,Male,blue,Human,Blond,188.0,DC Comics,-,good,83.0
Quicksilver,Male,blue,Mutant,Silver,183.0,Marvel Comics,-,good,79.0
Quill,Male,brown,-,Brown,163.0,Marvel Comics,-,good,56.0
Ra's Al Ghul,Male,green,Human,Grey,193.0,DC Comics,-,bad,97.0
Rachel Pirzad,Female,-,Alpha,-,-99.0,SyFy,-,good,-99.0
Rambo,Male,brown,Human,Black,178.0,,-,good,83.0
Raphael,Male,-,Mutant,No Hair,-99.0,IDW Publishing,green,good,-99.0
Raven,Female,indigo,Human,Black,165.0,DC Comics,-,neutral,50.0
Ray,Male,green,Human,Red,178.0,DC Comics,-,good,70.0
Razor-Fist II,Male,blue,-,No Hair,191.0,Marvel Comics,-,bad,117.0
Red Arrow,Male,green,Human,Red,180.0,DC Comics,-,good,83.0
Red Hood,Male,blue,Human,Black,183.0,DC Comics,-,neutral,81.0
Red Hulk,Male,yellow,Human / Radiation,Black,213.0,Marvel Comics,red,neutral,630.0
Red Mist,Male,-,-,-,-99.0,Icon Comics,-,bad,-99.0
Red Robin,Male,blue,Human,Black,165.0,DC Comics,-,good,56.0
Red Skull,Male,blue,-,No Hair,188.0,Marvel Comics,-,bad,108.0
Red Tornado,Male,green,Android,No Hair,185.0,DC Comics,-,good,146.0
Redeemer II,Male,-,-,-,-99.0,Image Comics,-,bad,-99.0
Redeemer III,Male,-,-,-,-99.0,Image Comics,-,bad,-99.0
Renata Soliz,Female,-,-,-,-99.0,HarperCollins,-,good,-99.0
Rey,Female,hazel,Human,Brown,297.0,George Lucas,-,good,-99.0
Rhino,Male,brown,Human / Radiation,Brown,196.0,Marvel Comics,-,bad,320.0
Rick Flag,Male,blue,-,Brown,185.0,DC Comics,-,bad,85.0
Riddler,Male,-,-,-,-99.0,DC Comics,-,bad,-99.0
Rip Hunter,Male,blue,Human,Blond,-99.0,DC Comics,-,good,-99.0
Ripcord,Female,green,-,Black,180.0,Marvel Comics,-,good,72.0
Robin,Male,blue,Human,Black,178.0,DC Comics,-,good,79.0
Robin II,Male,blue,Human,Red,183.0,DC Comics,-,good,101.0
Robin III,Male,blue,Human,Black,165.0,DC Comics,-,good,56.0
Robin V,Male,blue,Human,Black,137.0,DC Comics,-,good,38.0
Robin VI,Female,green,Human,Red,-99.0,DC Comics,-,neutral,-99.0
Rocket Raccoon,Male,brown,Animal,Brown,122.0,Marvel Comics,-,good,25.0
Rogue,Female,green,-,Brown / White,173.0,Marvel Comics,-,good,54.0
Ronin,Male,blue,Human,Blond,191.0,Marvel Comics,-,good,104.0
Rorschach,Male,blue,Human,Red,168.0,DC Comics,-,good,63.0
Sabretooth,Male,amber,Mutant,Blond,198.0,Marvel Comics,-,bad,171.0
Sage,Female,blue,-,Black,170.0,Marvel Comics,-,good,61.0
Sandman,Male,brown,Human,Brown,185.0,Marvel Comics,-,neutral,203.0
Sasquatch,Male,red,-,Orange,305.0,Marvel Comics,-,good,900.0
Sauron,Male,-,Maiar,-,279.0,J. R. R. Tolkien,-,bad,-99.0
Savage Dragon,Male,-,-,-,-99.0,Image Comics,-,good,-99.0
Scarecrow,Male,blue,Human,Brown,183.0,DC Comics,-,bad,63.0
Scarlet Spider,Male,blue,Human,Blond,178.0,Marvel Comics,-,good,74.0
Scarlet Spider II,Male,brown,Clone,Brown,193.0,Marvel Comics,-,good,113.0
Scarlet Witch,Female,blue,Mutant,Brown,170.0,Marvel Comics,-,bad,59.0
Scorpia,Female,green,-,Red,-99.0,Marvel Comics,-,bad,-99.0
Scorpion,Male,brown,Human,Brown,211.0,Marvel Comics,-,bad,310.0
Sebastian Shaw,Male,-,Mutant,-,-99.0,Marvel Comics,-,bad,-99.0
Sentry,Male,blue,Mutant,Blond,188.0,Marvel Comics,-,neutral,87.0
Shadow King,-,red,-,-,185.0,Marvel Comics,-,good,149.0
Shadow Lass,Female,black,Talokite,Black,173.0,DC Comics,blue,good,54.0
Shadowcat,Female,hazel,Mutant,Brown,168.0,Marvel Comics,-,good,50.0
Shang-Chi,Male,brown,Human,Black,178.0,Marvel Comics,-,good,79.0
Shatterstar,Male,brown,-,Red,191.0,Marvel Comics,-,good,88.0
She-Hulk,Female,green,Human,Green,201.0,Marvel Comics,-,good,315.0
She-Thing,Female,blue,Human / Radiation,No Hair,183.0,Marvel Comics,-,good,153.0
Shocker,Male,brown,Human,Brown,175.0,Marvel Comics,-,bad,79.0
Shriek,Female,yellow / blue,-,Black,173.0,Marvel Comics,-,good,52.0
Shrinking Violet,Female,-,-,-,-99.0,DC Comics,-,good,-99.0
Sif,Female,blue,Asgardian,Black,188.0,Marvel Comics,-,good,191.0
Silk,Female,brown,Human,Black,-99.0,Marvel Comics,-,good,-99.0
Silk Spectre,Female,-,-,-,-99.0,DC Comics,-,good,-99.0
Silk Spectre II,Female,-,-,-,-99.0,DC Comics,-,good,-99.0
Silver Surfer,Male,white,Alien,No Hair,193.0,Marvel Comics,silver,good,101.0
Silverclaw,Female,brown,-,Black,157.0,Marvel Comics,-,good,50.0
Simon Baz,Male,bown,Human,Black,-99.0,DC Comics,-,good,-99.0
Sinestro,Male,black,Korugaran,Black,201.0,DC Comics,red,neutral,92.0
Siren,Female,blue,Atlantean,Purple,175.0,DC Comics,-,bad,72.0
Siren II,Female,black,-,-,-99.0,DC Comics,-,bad,-99.0
Siryn,Female,blue,-,Strawberry Blond,168.0,Marvel Comics,-,bad,52.0
Skaar,Male,green,-,Black,198.0,Marvel Comics,-,good,180.0
Snake-Eyes,Male,-,Animal,-,-99.0,Marvel Comics,-,bad,-99.0
Snowbird,Female,white,-,Blond,178.0,Marvel Comics,-,good,49.0
Sobek,Male,white,-,No Hair,-99.0,DC Comics,-,good,-99.0
Solomon Grundy,Male,black,Zombie,White,279.0,DC Comics,-,bad,437.0
Songbird,Female,green,-,Red / White,165.0,Marvel Comics,-,good,65.0
Space Ghost,Male,-,Human,-,188.0,DC Comics,-,good,113.0
Spawn,Male,brown,Demon,Black,211.0,Image Comics,-,good,405.0
Spectre,Male,white,God / Eternal,No Hair,-99.0,DC Comics,white,good,-99.0
Speedball,Male,-,-,-,-99.0,Marvel Comics,-,good,-99.0
Speedy,Male,-,Human,-,-99.0,DC Comics,-,good,-99.0
Speedy,Female,green,Human,Brown,-99.0,DC Comics,-,good,-99.0
Spider-Carnage,Male,-,Symbiote,-,-99.0,Marvel Comics,-,bad,-99.0
Spider-Girl,Female,blue,Human,Brown,170.0,Marvel Comics,-,good,54.0
Spider-Gwen,Female,blue,Human,Blond,165.0,Marvel Comics,-,good,56.0
Spider-Man,Male,hazel,Human,Brown,178.0,Marvel Comics,-,good,74.0
Spider-Man,-,red,Human,Brown,178.0,Marvel Comics,-,good,77.0
Spider-Man,Male,brown,Human,Black,157.0,Marvel Comics,-,good,56.0
Spider-Woman,Female,green,Human,Black,178.0,Marvel Comics,-,good,59.0
Spider-Woman II,Female,-,-,-,-99.0,Marvel Comics,-,good,-99.0
Spider-Woman III,Female,brown,-,Brown,173.0,Marvel Comics,-,good,55.0
Spider-Woman IV,Female,red,-,White,178.0,Marvel Comics,-,bad,58.0
Spock,Male,brown,Human-Vulcan,Black,185.0,Star Trek,-,good,81.0
Spyke,Male,brown,Mutant,Blond,183.0,Marvel Comics,-,good,83.0
Stacy X,Female,-,-,-,-99.0,Marvel Comics,-,good,-99.0
Star-Lord,Male,blue,Human-Spartoi,Blond,188.0,Marvel Comics,-,good,79.0
Stardust,Male,-,-,-,-99.0,Marvel Comics,-,good,-99.0
Starfire,Female,green,Tamaranean,Auburn,193.0,DC Comics,orange,good,71.0
Stargirl,Female,blue,Human,Blond,165.0,DC Comics,-,good,62.0
Static,Male,brown,Mutant,Black,170.0,DC Comics,-,good,63.0
Steel,Male,brown,-,No Hair,201.0,DC Comics,-,good,131.0
Stephanie Powell,Female,-,-,Blond,-99.0,ABC Studios,-,good,-99.0
Steppenwolf,Male,red,New God,Black,183.0,DC Comics,white,bad,91.0
Storm,Female,blue,Mutant,White,180.0,Marvel Comics,-,good,57.0
Stormtrooper,Male,-,Human,-,183.0,George Lucas,-,bad,-99.0
Sunspot,Male,brown,Mutant,black,173.0,Marvel Comics,-,good,77.0
Superboy,Male,blue,-,Black,170.0,DC Comics,-,good,68.0
Superboy-Prime,Male,blue,Kryptonian,Black / Blue,180.0,DC Comics,-,bad,77.0
Supergirl,Female,blue,Kryptonian,Blond,165.0,DC Comics,-,good,54.0
Superman,Male,blue,Kryptonian,Black,191.0,DC Comics,-,good,101.0
Swamp Thing,Male,red,God / Eternal,No Hair,-99.0,DC Comics,green,bad,-99.0
Swarm,Male,yellow,Mutant,No Hair,196.0,Marvel Comics,yellow,bad,47.0
Sylar,Male,-,-,-,-99.0,NBC - Heroes,-,bad,-99.0
Synch,Male,brown,-,Black,180.0,Marvel Comics,-,good,74.0
T-1000,Male,-,Android,-,183.0,Dark Horse Comics,silver,bad,146.0
T-800,Male,red,Cyborg,-,-99.0,Dark Horse Comics,-,bad,176.0
T-850,Male,red,Cyborg,-,-99.0,Dark Horse Comics,-,bad,198.0
T-X,Female,-,Cyborg,-,-99.0,Dark Horse Comics,silver,bad,149.0
Taskmaster,Male,brown,Human,Brown,188.0,Marvel Comics,-,bad,99.0
Tempest,Female,brown,-,Black,163.0,Marvel Comics,-,good,54.0
Thanos,Male,red,Eternal,No Hair,201.0,Marvel Comics,purple,bad,443.0
The Cape,Male,-,-,-,-99.0,,-,good,-99.0
The Comedian,Male,brown,Human,Black,188.0,DC Comics,-,neutral,101.0
Thing,Male,blue,Human / Radiation,No Hair,183.0,Marvel Comics,-,good,225.0
Thor,Male,blue,Asgardian,Blond,198.0,Marvel Comics,-,good,288.0
Thor Girl,Female,blue,Asgardian,Blond,175.0,Marvel Comics,-,good,143.0
Thunderbird,Male,brown,-,Black,185.0,Marvel Comics,-,good,101.0
Thunderbird II,Male,-,-,-,-99.0,Marvel Comics,-,good,-99.0
Thunderbird III,Male,brown,-,Black,175.0,Marvel Comics,-,good,74.0
Thunderstrike,Male,blue,-,Blond,198.0,Marvel Comics,-,good,288.0
Thundra,Female,green,-,Red,218.0,Marvel Comics,-,good,158.0
Tiger Shark,Male,grey,Human,No Hair,185.0,Marvel Comics,grey,bad,203.0
Tigra,Female,green,-,Auburn,178.0,Marvel Comics,-,good,81.0
Tinkerer,Male,brown,-,White,163.0,Marvel Comics,-,bad,54.0
Titan,Male,-,-,-,-99.0,HarperCollins,-,good,-99.0
Toad,Male,black,Mutant,Brown,175.0,Marvel Comics,green,neutral,76.0
Toxin,Male,blue,Symbiote,Brown,188.0,Marvel Comics,-,good,97.0
Toxin,Male,black,Symbiote,Blond,191.0,Marvel Comics,-,good,117.0
Tracy Strauss,Female,-,-,-,-99.0,NBC - Heroes,-,good,-99.0
Trickster,Male,blue,Human,Blond,183.0,DC Comics,-,-,81.0
Trigon,Male,yellow,God / Eternal,Black,-99.0,DC Comics,red,bad,-99.0
Triplicate Girl,Female,purple,-,Brown,168.0,DC Comics,-,good,59.0
Triton,Male,green,Inhuman,No Hair,188.0,Marvel Comics,green,good,86.0
Two-Face,Male,-,-,-,183.0,DC Comics,-,bad,82.0
Ultragirl,Female,blue,-,Blond,168.0,Marvel Comics,-,good,105.0
Ultron,Male,red,Android,-,206.0,Marvel Comics,silver,bad,331.0
Utgard-Loki,Male,blue,Frost Giant,White,15.2,Marvel Comics,-,bad,58.0
Vagabond,Female,blue,-,Strawberry Blond,168.0,Marvel Comics,-,good,54.0
Valerie Hart,Female,hazel,-,Black,175.0,Team Epic TV,-,good,56.0
Valkyrie,Female,blue,-,Blond,191.0,Marvel Comics,-,good,214.0
Vanisher,Male,green,-,No Hair,165.0,Marvel Comics,-,bad,79.0
Vegeta,Male,-,Saiyan,Black,168.0,Shueisha,-,bad,73.0
Venom,Male,blue,Symbiote,Strawberry Blond,191.0,Marvel Comics,-,bad,117.0
Venom II,Male,brown,-,Black,175.0,Marvel Comics,-,bad,50.0
Venom III,Male,brown,Symbiote,Brown,229.0,Marvel Comics,-,bad,334.0
Venompool,Male,-,Symbiote,-,226.0,Marvel Comics,-,-,-99.0
Vertigo II,Female,blue,-,Silver,168.0,Marvel Comics,-,good,52.0
Vibe,Male,brown,Human,Black,178.0,DC Comics,-,good,71.0
Vindicator,Female,green,Human,Red,165.0,Marvel Comics,-,good,54.0
Vindicator,Male,-,-,-,-99.0,Marvel Comics,-,good,-99.0
Violator,Male,-,-,-,-99.0,Image Comics,-,bad,-99.0
Violet Parr,Female,violet,Human,Black,137.0,Dark Horse Comics,-,good,41.0
Vision,Male,gold,Android,No Hair,191.0,Marvel Comics,red,good,135.0
Vision II,-,red,-,No Hair,191.0,Marvel Comics,-,good,135.0
Vixen,Female,amber,Human,Black,175.0,DC Comics,-,good,63.0
Vulcan,Male,black,-,Black,-99.0,Marvel Comics,-,good,-99.0
Vulture,Male,brown,Human,No Hair,180.0,Marvel Comics,-,bad,79.0
Walrus,Male,blue,Human,Black,183.0,Marvel Comics,-,bad,162.0
War Machine,Male,brown,Human,Brown,185.0,Marvel Comics,-,good,95.0
Warbird,Female,blue,-,Blond,180.0,Marvel Comics,-,good,54.0
Warlock,Male,red,-,Blond,188.0,Marvel Comics,-,good,108.0
Warp,Male,brown,-,Black,173.0,DC Comics,-,bad,67.0
Warpath,Male,brown,Mutant,Black,218.0,Marvel Comics,-,good,158.0
Wasp,Female,blue,Human,Auburn,163.0,Marvel Comics,-,good,50.0
Watcher,Male,-,-,-,-99.0,Marvel Comics,-,good,-99.0
Weapon XI,Male,-,-,-,-99.0,Marvel Comics,-,bad,-99.0
White Canary,Female,brown,Human,Black,-99.0,DC Comics,-,bad,-99.0
White Queen,Female,blue,-,Blond,178.0,Marvel Comics,-,good,65.0
